# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul 13 15:40:13 2023
# COLUMN name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
name	temp
HATS-77 b	828
HATS-8 b	1324
HATS-9 b	1746
HD 106315 b	1153
HD 106315 c	886
HD 106906 b	1800
HD 108147 b	890
HD 108236 b	1099
HD 108236 c	932
HD 108236 d	708
HD 108236 e	636
HD 109286 b	259
HD 109833 b	811
HD 109833 c	757
HD 110082 b	957
HD 110113 b	1371
HD 110113 c	990
HD 115954 b	145
HD 118203 b	1509
HD 130322 b	720
HD 136352 b	905
HD 136352 c	677
HD 136352 d	431
HD 137496 b	2130
HD 137496 c	370
HD 1397 b	1228
HD 149026 b	1626
HD 152843 c	253
HD 15337 b	1001
HD 15337 c	642
HD 158259 b	1482
HD 15906 b	668
HD 15906 c	532
HD 160691 d	900
HD 162020 b	650
HD 164922 b	159
HD 164922 c	400
HD 168746 b	900
HD 169830 b	345
HD 17156 b	883
HD 183579 b	769
HD 18599 b	863
HD 189733 b	1209
HD 190360 b	150
HD 191939 b	880
HD 191939 c	600
HD 191939 d	540
HD 191939 e	390
HD 191939 f	125
HD 191939 g	278
HD 192263 b	486
HD 192310 b	355
HD 192310 c	185
HD 202772 A b	2132
HD 203030 b	1040
HD 20329 b	2141
HD 206893 b	1429
HD 206893 c	1182
HD 207496 b	743
HD 207897 b	632
HD 20794 b	660
HD 20794 c	508
HD 20794 d	388
HD 209458 b	1459
HD 211403 b	380
HD 213885 b	2128
HD 213885 c	1265
HD 21749 c	701
HD 219134 b	1015
HD 219134 c	782
HD 219134 d	410
HD 219134 f	523
HD 219666 b	1073
HD 221416 b	789
HD 22496 b	573
HD 22946 b	1241
HD 22946 c	931
HD 22946 d	546
HD 23472 b	543
HD 23472 c	467
HD 23472 d	909
HD 23472 e	723
HD 23472 f	630
HD 238090 b	470
HD 260655 b	709
HD 260655 c	557
HD 2685 b	2061
HD 27969 b	261
HD 28109 b	881
HD 28109 c	585
